Model,Accuracy,Precision,Recall,F1,AUC
SMOTE + Logistic Regression,0.6577777777777778,0.10413476263399694,0.6868686868686869,0.18085106382978725,0.717385495163273
Weighted Logistic Regression,0.6588888888888889,0.10077519379844961,0.6565656565656566,0.17473118279569894,0.7252121449652313
Random Oversampling + Logistic Regression,0.6527777777777778,0.09908536585365854,0.6565656565656566,0.17218543046357615,0.7210791037951532
Random Undersampling + Logistic Regression,0.6222222222222222,0.09256661991584852,0.6666666666666666,0.1625615763546798,0.6956098314123005
Baseline Logistic Regression,0.9461111111111111,0.75,0.030303030303030304,0.05825242718446602,0.7213819559498572
