iter	Passed	Remaining
407	7546	10949
408	7580	10954
409	7608	10949
410	7640	10948
411	7666	10941
412	7680	10916
413	7697	10895
414	7710	10868
415	7730	10852
416	7751	10836
417	7775	10826
418	7797	10812
419	7819	10798
420	7841	10783
421	7859	10765
422	7878	10747
423	7897	10728
424	7916	10711
425	7932	10689
426	7947	10665
427	7962	10641
428	7976	10617
429	7999	10604
430	8022	10591
431	8043	10575
432	8061	10556
433	8081	10540
434	8103	10524
435	8124	10509
436	8138	10484
437	8153	10461
438	8164	10433
439	8178	10409
440	8196	10389
441	8206	10360
442	8222	10338
443	8236	10314
444	8256	10297
445	8280	10285
446	8303	10272
447	8313	10243
448	8336	10229
449	8356	10213
450	8372	10191
451	8387	10169
452	8407	10152
453	8418	10124
454	8435	10104
455	8449	10080
456	8470	10064
457	8479	10034
458	8495	10013
459	8504	9983
460	8513	9954
461	8524	9926
462	8541	9906
463	8558	9886
464	8573	9864
465	8587	9840
466	8608	9824
467	8621	9800
468	8633	9774
469	8644	9748
470	8660	9726
471	8676	9705
472	8689	9681
473	8710	9665
474	8722	9640
475	8749	9631
476	8771	9617
477	8783	9591
478	8802	9574
479	8821	9556
480	8843	9541
481	8871	9533
482	8889	9514
483	8909	9498
484	8931	9483
485	8942	9458
486	8952	9430
487	8980	9422
488	8997	9402
489	9014	9382
490	9029	9360
491	9051	9345
492	9078	9336
493	9103	9324
494	9123	9308
495	9146	9293
496	9163	9273
497	9184	9258
498	9210	9247
499	9225	9225
500	9247	9211
501	9266	9193
502	9278	9167
503	9302	9154
504	9330	9146
505	9348	9126
506	9370	9111
507	9395	9099
508	9414	9081
509	9430	9060
510	9451	9044
511	9469	9025
512	9485	9004
513	9507	8989
514	9518	8963
515	9535	8944
516	9560	8931
517	9580	8914
518	9594	8892
519	9606	8867
520	9623	8847
521	9636	8824
522	9653	8804
523	9671	8785
524	9696	8773
525	9720	8759
526	9742	8744
527	9758	8723
528	9779	8707
529	9795	8686
530	9820	8673
531	9839	8655
532	9860	8639
533	9876	8619
534	9894	8599
535	9922	8589
536	9954	8582
537	9975	8566
538	9990	8544
539	10005	8522
540	10025	8506
541	10036	8481
542	10063	8469
543	10083	8452
544	10118	8447
545	10141	8433
546	10152	8407
547	10175	8392
548	10191	8371
549	10216	8359
550	10235	8340
551	10266	8332
552	10282	8311
553	10299	8291
554	10326	8279
555	10345	8261
556	10356	8237
557	10379	8221
558	10397	8203
559	10413	8182
560	10434	8165
561	10451	8145
562	10472	8129
563	10489	8108
564	10506	8088
565	10522	8068
566	10543	8052
567	10555	8028
568	10572	8008
569	10592	7990
570	10608	7970
571	10631	7954
572	10662	7945
573	10673	7921
574	10692	7903
575	10703	7878
576	10719	7858
577	10740	7841
578	10761	7824
579	10779	7806
580	10796	7786
581	10815	7768
582	10832	7748
583	10848	7727
584	10862	7706
585	10878	7685
586	10893	7664
587	10918	7650
588	10938	7633
589	10951	7610
590	10967	7590
591	10986	7571
592	10996	7547
593	11016	7529
594	11036	7512
595	11051	7491
596	11068	7471
597	11084	7451
598	11094	7427
599	11117	7411
600	11141	7397
601	11161	7379
602	11182	7362
603	11200	7343
604	11216	7323
605	11231	7302
606	11252	7285
607	11264	7262
608	11278	7240
609	11299	7224
610	11316	7204
611	11334	7186
612	11349	7164
613	11362	7143
614	11378	7123
615	11403	7108
616	11425	7092
617	11445	7074
618	11468	7059
619	11481	7037
620	11501	7019
621	11531	7007
622	11561	6996
623	11585	6980
624	11616	6969
625	11639	6953
626	11661	6937
627	11673	6914
628	11694	6897
629	11713	6879
630	11735	6862
631	11752	6843
632	11768	6823
633	11780	6800
634	11794	6779
635	11811	6760
636	11823	6737
637	11842	6719
638	11858	6699
639	11877	6681
640	11891	6659
641	11908	6640
642	11925	6620
643	11944	6602
644	11966	6586
645	11981	6565
646	11993	6543
647	12000	6518
648	12014	6497
649	12026	6475
650	12043	6456
651	12064	6439
652	12079	6418
653	12095	6399
654	12107	6377
