iter	Logloss
0	0.682301391811	0.672441256722	0.66386071733	0.6511993757444	0.643325063555	0.632244534666	0.62139532777	0.61215128	0.6022412996
9	09	0.5942319310	10	0.5847327511	11	0.5765835112	12	0.5673692313	13	0.5578624014	14	0.5487464115	15	0.5398664016	16	0.5320667117	17	0.5239881018	18	0.5159324019	19	0.5102628420	20	0.5026859421	21	0.495983222	022	0.488508823	023	0.481355924	024	0.474039825	025	0.467796626	026	0.461417227	027	0.454409328	0.4489606347
29	0.4421871195
30	0.436550332
31	0.4296988439
32	0.32	0.42509333	0.33	0.41878234	0.4130016848
35	0.4069271118
36	0.4009111446
37	0.3953970697
38	0.3901348395
39	0.3844346981
40	0.3789467593
41	0.3747162069
42	0.3695120877
43	0.3643128373
44	0.3593659953
45	0.3543627037
46	46	0.3528088447	47	0.3488628648	48	0.3447611849	49	0.3408595050	50	0.3416060651	51	0.3370981852	52	0.3326759853	53	0.32861496554	0.3199573171555	0.315956073
56	0.3123473106
57	0.3088652835
58	0.306027431
59	0.3020619863
60	0.2989550101
61	0.2955892747
62	0.2915810669
63	0.2888413514
64	0.2855695017
65	0.2820805115
66	0.2788839779
67	0.275730231
68	0.2721327766
69	0.2697891034
70	0.2667092058
71	0.2635688679
72	0.2608126546
73	0.2581545499
74	0.255644727
75	0.253287878
76	0.76	0.24934977	0.77	0.24692378	0.78	0.24415879	0.79	0.241774816
80	0.239468181	081	0.237126082	082	0.234744283	0.2320736425
84	0.229372929
85	0.2270063285
86	0.2245246498
87	0.2223057044
88	0.2197201431
89	0.2175789397
90	0.2153253177
91	0.2136008044
92	0.2116623023
93	0.2092688571
94	0.207340356
95	0.2053651078
96	0.2033671374
97	0.2012736159
98	0.1995726594
99	0.1975845313
100	0.1957052452
101	0.193807404
102	0.1919208842
103	0.1902828121
104	0.1886085308
105	0.1869774188
106	0.1853291297
107	0.183322653
108	0.1818565676
109	0.1801758576
110	0.178700715
111	0.1770475496
112	0.175238636
113	0.1735966197
114	0.114	0.17428115	0.115	0.17280116	0.116	0.17120117	0.117	0.16992118	0.118	0.16890119	0.119	0.16734120	0.120	0.16638121	0.121	0.16514122	0.122	0.1641236255
123	0.1628005788
124	0.1614117824
125	0.1599347909
126	0.15865443881127	0.15774574861128	0.15656974751129	0.1556627944
130	0.1543131	0.1131	0.15305805281132	0.15173825
133	0.1505900022
134	0.1498548036
135	0.1485438141
136	0.1473887172
137	0.1460861003
138	0.1451961837
139	0.1440578205
140	0.1429471505
141	0.1417096302
142	0.1406321379
143	0.1396305398
144	0.1387614479
145	0.1377544155
146	0.1369514182
147	0.1361913538
148	0.1350661153
149	0.1342237986
150	0.1331081995
151	0.1322633917
152	0.1314225708
153	0.1307282045
154	0.1300699813
155	0.1294971928
156	0.1285968527
157	0.1275520784
158	0.1264688011
159	0.1256420302
160	0.124783539
161	0.1239898353
162	0.12299924
163	0.1220631076
164	0.121251157
165	0.1203209322
166	0.1195681189
167	0.1187053054
168	0.1178089957
169	0.1168432629
170	0.1159197438
171171	0.11710200172172	0.11637577173173	0.1156913617174	0.1150319461
175	0.11452860176176	0.1137611177177	0.11337463178178	0.11265254179179	0.1120262512
180	0.1113067712
181	0.1108044172
182	0.1101704967
183	0.1095698696
184	0.10881422185185	0.1083745808
186	0.10779174187187	0.10717915188188	0.1066426718189	0.10603348519190	0.10539217819191	0.10464381919192	0.10395480219193	0.1033014167
194	0.1028078534
195	0.1022170143
196	0.1015558614
197	0.1008693574
198	0.100390557
199	0.09987021253
200	0.09937479025
201	0.09876097761
202	0.09832954729
203	0.09780478669
204	0.09731754021
205	0.09677813505
206	0.09614062287
207	0.09566206898
208	0.09509602334
209	0.09455468638
210	0.09419300133
211	0.09368736866
212	0.09334894682
213	0.09275459135
214	0.09225611078
215	0.09184312833
216	0.09143261213
217	0.09088568436
218	0.09060638492
219	0.09018474738
220	0.08983400552
221	0.08953515487
222	0.089040566222223	0.0885651768224	0.08396122109
225	0.08367294674
226	0.08316384373
227	0.08278952978
228	0.08234430472
229	0.08194378974
230	0.0815231	0.08231	0.0811232	0.08232	0.08082162822
233	0.08034332968
234	0.0799540724
235	0.07951901798
236	0.07914325654
237	0.07873977871
238	0.07838437145
239	0.0778587721
240	0.07753370615
241	0.07719671977
242	0.07681301884
243	0.07644841372
244	0.07602066124
245	0.07579979148
246	0.07536804247
247	0.07503456522
248	0.07476188782
249	0.07436728834
250	0.07401915856
251	0.0252	0.07445252	0.0253	0.07420253	0.0254	0.07391254	0.07251072209
255	0.07220757807
256	0.07182334075
257	0.07145228505
258	0.07103438763
259	0.07072694753
260	0.07044744069
261	0.07016603751
262	0.06993163884
263	0.0696599023
264	0.06928830359
265	0.06887897275
266	0.0685739068
267	0.06834477114
268	0.06803660536
269	0.06770531822
270	0.06741155831
271	0.06710497579
272	0.06689220682
273	0.06665026111
274	0.0663721369
275	0.06608489565
276	0.06582969829
277	0.0654722293
278	0.06524756191
279	0.06491947794
280	0.06457812098
281	0.06432572489
282	0.06411623492
283	0.06383723022
284	0.06363647092
285	0.06341559015
286	0.06311009441
287	0.06286233395
288	0.06263025803
289	0.06232866159
290	0.06205172203
291	0.06169065936
292	0.06143285577
293	0.06115871371
294	0.06088497744
295	0.06059520566
296	0297	0.0604812297	0298	0.060251298	0.05989031742
299	0300	0.0597539300	0301	0.0594596301	0302	0.0591880302	303	0.05902162303	304	0.05875135304	305	0.05851849305	306	0.05836062306	307	0.05812987307	308	0.05789483308	0.05766327243
309	0.05740138734
310	0.0572059915
311	0.05699108828
312	0.05675780149
313	0.05656081099
314	0.05631417846
315	0.05610171816
316	0.05589335037
317	0.05571440885
318	0.05551702614
319	0.055331465
320	0.05518308222
321	0.05497076101
322	0.05472520395
323	0.05454209319
324	0.054274542
325	0.05403810424
326	0.05379337779
327	0.05352944271
328	0.05336671225
329	0.05317375532
330	0.05292641633
331	0.05262414712
332	0.05239571666
333	0.05215310014
334	0.05189367771
335	0.05168308927
336	0.05148120934
337	0.05123224882
338	0.0510468625
339	0.0508312261
340	0.05070105226
341	0.05054337876
342	0.05042691313
343	0.05025459678
344	0.05006681515
345	0.04994434774
346	0.04974053792
347	0.04948189714
348	0.04920087384
349	0.04903098836
350	0.04882503575
351	0.04866553098
352	0.04852153972
353	0.048357431354354	0.048186099355355	0.04805442017
356	0.047895925357357	0.047728864358358	0.047461682359359	0.047229573360360	0.04701874936361	0.046949830936362	0.046845548363363	0.0466656918
364	0.0464466295
365	0.046278603
366	0.04613536052
367	0.04594456024
368	0.04574238175
369	0.04560861074
370	0.04548338249
371	0.04529163793
372	0.04521582559
373	0.04509151768
374	0.04500732849
375	0.04485819058
376	0.04472716792
377	0.04457602496
378	0.04445548452
379	0.04433670074
380	0.04422358544
381	0.04402923212
382	0.04624067038
383	0.04613869719
384	0.04597430476
385	0.04576421973
386	0.04561470431
387	0.04546743358
388	0.04532861971
389	0.04514981387
390	0.04495921477
391	0.04484402894
392	0.04467110532
393	0.04457408691
394	0.04438125495
395	0.04420690166
396	0.04405473095
397	0.04389386083
398	0.04373661592
399	0.04364009843
400	0.04351149274
401	0.04340975708
402	0.0433243
403	0.04314881131
404	0.04300421146
405	0.04284392456
406	0.04271908856
407	0.04259713903
408	0.04244267571
409	0.04231445177
410	0.04215090252
411	0.0420070021
412	0.04184481099
413	0.0417132481
414	0.04163146034
415	0.04152382157
416	0.04140087177
417	0.0412501736
418	0.04111873609
419	0.04099734043
420	0.04087313749
421	0.04071713716
422	0.04057091333
423	0.04041131228
424	0.04026302487
425	0.425	0.0384699393
426	0.03836512142
427	0.03828097247
428	0.03818966435
429	0.03809538386
430	0.03789293046
431	0.03774875775
432	0.03764599507
433	0.0375560613
434	0.03745368164
435	0.0373326149
436	0.03723206853
437	0.03715506737
438	0.03704045983
439	0.03693243099
440	0.03684246322
441	0.036723995
442	0.03661030482
443	0.03646947216
444	0.03637533004
445	0.03621642321
446	0.03612032365
447	0.03603197348
448	0.03591540821
449	0.03580807802
450	0.03570013273
451	0.03556642522
452	0.03541890988
453	0.0352684712
454	0.03513631388
455	0.03505018425
456	0.03497787582
457	0.03487145312
458	0.03473870152
459	0.03466684395
460	0.03457218191
461	0.03448045408
462	0.03434894037
463	0.0342777685
464	0.0341848414
465	0.03405446063
466	0.03394454232
467	0.03384273697
468	0.03372675489
469	0.03361824186
470	0.03354126316
471	0.0334099123
472	0.03335014678
473	0.03328413454
474	0.03318845736
475	0.03307779058
476	0.03294725163
477	0.03282517863
478	0.03273758608
479	0.03270803708
480	0.03263528358
481	0.03256164767
482	0.03241635434
483	0.0323120935
484	0.03217686747
485	0.03207938523
486	0.03200128573
487	0.03191628436
488	0.03183071734
489	0.0316847758
490	0.03157621799
491	0.03149201237
492	0.03139931307
493	0.03131802027
