episode,dqn_reward,dqn_smoothed_reward,dqn_epsilon,ddqn_reward,ddqn_smoothed_reward,ddqn_epsilon
81,83.0,20.34,0.5217295611291888,18.0,16.26,0.5217295611291888
82,30.0,20.48,0.5175557246401552,14.0,16.3,0.5175557246401552
83,32.0,20.82,0.513415278843034,36.0,16.7,0.513415278843034
84,27.0,20.98,0.5093079566122897,20.0,16.76,0.5093079566122897
85,44.0,21.3,0.5052334929593914,23.0,17.0,0.5052334929593914
86,65.0,22.38,0.5011916250157162,20.0,16.82,0.5011916250157162
87,33.0,22.7,0.49718209201559055,15.0,16.46,0.49718209201559055
88,25.0,22.86,0.4932046352794658,15.0,16.58,0.4932046352794658
89,110.0,24.86,0.48925899819723007,23.0,16.72,0.48925899819723007
90,97.0,25.92,0.4853449262116522,18.0,16.72,0.4853449262116522
91,158.0,28.84,0.481462166801959,46.0,17.38,0.481462166801959
92,261.0,33.56,0.4776104694675433,36.0,17.78,0.4776104694675433
93,202.0,37.28,0.47378958571180296,35.0,18.16,0.47378958571180296
94,12.0,37.32,0.46999926902610856,28.0,18.24,0.46999926902610856
95,17.0,36.76,0.46623927487389966,17.0,17.96,0.46623927487389966
96,48.0,37.2,0.4625093606749085,38.0,18.34,0.4625093606749085
97,52.0,37.84,0.4588092857895092,38.0,18.84,0.4588092857895092
98,185.0,41.26,0.45513881150319313,57.0,19.72,0.45513881150319313
99,126.0,43.6,0.4514977010111676,56.0,20.6,0.4514977010111676
100,107.0,45.44,0.44788571940307825,22.0,20.82,0.44788571940307825
101,112.0,47.38,0.4443026336478536,33.0,21.1,0.4443026336478536
102,97.0,47.98,0.4407482125786708,80.0,22.16,0.4407482125786708
103,39.0,48.56,0.4372222268780414,72.0,23.3,0.4372222268780414
104,57.0,49.46,0.4337244490630171,114.0,25.34,0.4337244490630171
105,90.0,50.84,0.43025465347051295,69.0,26.4,0.43025465347051295
106,128.0,53.14,0.42681261624274885,29.0,26.76,0.42681261624274885
107,31.0,53.5,0.42339811531280686,56.0,27.5,0.42339811531280686
108,91.0,54.92,0.4200109303903044,52.0,28.04,0.4200109303903044
109,101.0,56.74,0.41665084294718197,31.0,28.46,0.41665084294718197
110,47.0,57.3,0.4133176362036045,91.0,29.8,0.4133176362036045
111,160.0,60.14,0.41001109511397565,76.0,31.1,0.41001109511397565
112,83.0,61.56,0.40673100635306386,96.0,32.74,0.40673100635306386
113,130.0,63.74,0.40347715830223935,68.0,33.88,0.40347715830223935
114,74.0,65.0,0.4002493410358214,57.0,34.74,0.4002493410358214
115,161.0,67.96,0.39704734630753485,93.0,36.38,0.39704734630753485
116,101.0,69.68,0.39387096753707457,86.0,37.78,0.39387096753707457
117,243.0,74.24,0.39071999979677796,65.0,38.78,0.39071999979677796
118,244.0,78.9,0.38759423979840374,95.0,40.46,0.38759423979840374
119,25.0,79.14,0.3844934858800165,98.0,42.2,0.3844934858800165
120,225.0,83.38,0.38141753799297634,96.0,43.88,0.38141753799297634
121,173.0,86.46,0.37836619768903257,127.0,45.88,0.37836619768903257
122,165.0,89.36,0.3753392681075203,67.0,46.94,0.3753392681075203
123,107.0,90.94,0.37233655396266013,63.0,47.94,0.37233655396266013
124,105.0,92.68,0.36935786153095884,62.0,48.84,0.36935786153095884
125,30.0,92.98,0.3664029986387112,28.0,49.1,0.3664029986387112
126,91.0,94.34,0.36347177464960145,72.0,50.28,0.36347177464960145
127,53.0,95.16,0.36056400045240466,70.0,51.42,0.36056400045240466
128,13.0,95.1,0.3576794884487854,84.0,52.84,0.3576794884487854
129,95.0,96.62,0.35481805254119514,58.0,53.76,0.35481805254119514
130,100.0,97.7,0.35197950812086554,77.0,54.8,0.35197950812086554
131,65.0,97.34,0.34916367205589866,97.0,56.38,0.34916367205589866
132,46.0,97.66,0.3463703626794514,79.0,57.68,0.3463703626794514
133,65.0,98.32,0.34359939977801585,95.0,58.86,0.34359939977801585
134,82.0,99.42,0.3408506045797917,98.0,60.42,0.3408506045797917
135,13.0,98.8,0.3381237997431534,79.0,61.54,0.3381237997431534
136,82.0,99.14,0.3354188093452081,60.0,62.34,0.3354188093452081
137,13.0,98.74,0.3327354588704465,119.0,64.42,0.3327354588704465
138,91.0,100.06,0.3300735751994829,82.0,65.76,0.3300735751994829
139,56.0,98.98,0.32743298659788705,42.0,66.14,0.32743298659788705
140,24.0,97.52,0.32481352270510394,115.0,68.08,0.32481352270510394
141,19.0,94.74,0.3222150145234631,95.0,69.06,0.3222150145234631
142,13.0,89.78,0.3196372944072754,106.0,70.46,0.3196372944072754
143,90.0,87.54,0.3170801960520172,106.0,71.88,0.3170801960520172
144,10.0,87.5,0.31454355448360105,107.0,73.46,0.31454355448360105
145,19.0,87.54,0.3120272060477322,123.0,75.58,0.3120272060477322
146,78.0,88.14,0.3095309883993504,119.0,77.2,0.3095309883993504
147,86.0,88.82,0.3070547404921556,75.0,77.94,0.3070547404921556
148,45.0,86.02,0.30459830256821835,127.0,79.34,0.30459830256821835
149,54.0,84.58,0.30216151614767256,148.0,81.18,0.30216151614767256
150,18.0,82.8,0.2997442240184912,110.0,82.94,0.2997442240184912
151,93.0,82.42,0.29734627022634325,166.0,85.6,0.29734627022634325
152,91.0,82.3,0.2949675000645325,131.0,86.62,0.2949675000645325
153,22.0,81.96,0.29260776006401623,185.0,88.88,0.29260776006401623
154,11.0,81.04,0.29026689798350414,182.0,90.24,0.29026689798350414
155,12.0,79.48,0.2879447627996361,112.0,91.1,0.2879447627996361
156,81.0,78.54,0.28564120469723897,128.0,93.08,0.28564120469723897
157,16.0,78.24,0.2833560750596611,24.0,92.44,0.2833560750596611
158,14.0,76.7,0.28108922645918377,121.0,93.82,0.28108922645918377
159,17.0,75.02,0.2788405126475103,112.0,95.44,0.2788405126475103
160,11.0,74.3,0.2766097885463302,120.0,96.02,0.2766097885463302
161,22.0,71.54,0.2743969102379596,11.0,94.72,0.2743969102379596
162,17.0,70.22,0.27220173495605593,164.0,96.08,0.27220173495605593
163,89.0,69.4,0.27002412107640744,57.0,95.86,0.27002412107640744
164,83.0,69.58,0.2678639281077962,65.0,96.02,0.2678639281077962
165,20.0,66.76,0.2657210166829338,66.0,95.48,0.2657210166829338
166,98.0,66.7,0.26359524854947036,108.0,95.92,0.26359524854947036
167,92.0,63.68,0.2614864865610746,180.0,98.22,0.2614864865610746
168,97.0,60.74,0.259394594668586,136.0,99.04,0.259394594668586
169,20.0,60.64,0.2573194379112373,122.0,99.52,0.2573194379112373
170,71.0,57.56,0.2552608824079474,164.0,100.88,0.2552608824079474
171,107.0,56.24,0.2532187953486838,18.0,98.7,0.2532187953486838
172,55.0,54.04,0.25119304498589434,107.0,99.5,0.25119304498589434
173,83.0,53.56,0.2491835006260072,58.0,99.4,0.2491835006260072
174,19.0,51.84,0.24719003262099912,141.0,100.98,0.24719003262099912
175,80.0,52.84,0.24521251236003114,166.0,103.74,0.24521251236003114
176,100.0,53.02,0.2432508122611509,138.0,105.06,0.2432508122611509
177,109.0,54.14,0.24130480576306168,125.0,106.16,0.24130480576306168
178,10.0,54.08,0.2393743673169572,44.0,105.36,0.2393743673169572
179,94.0,54.06,0.23745937237842152,152.0,107.24,0.23745937237842152
180,109.0,54.24,0.23555969739939414,167.0,109.04,0.23555969739939414
181,17.0,53.28,0.23367521982019898,128.0,109.66,0.23367521982019898
182,120.0,54.76,0.2318058180616374,12.0,108.32,0.2318058180616374
183,106.0,55.58,0.2299513715171443,33.0,107.08,0.2299513715171443
184,109.0,56.12,0.22811176054500715,105.0,107.22,0.22811176054500715
185,24.0,56.34,0.22628686646064708,147.0,108.58,0.22628686646064708
186,16.0,55.02,0.22447657152896192,133.0,110.04,0.22447657152896192
187,15.0,55.06,0.2226807589567302,107.0,109.8,0.2226807589567302
188,112.0,55.48,0.22089931288507636,135.0,110.86,0.22089931288507636
189,67.0,55.7,0.21913211838199576,143.0,112.88,0.21913211838199576
190,17.0,55.56,0.2173790614349398,70.0,111.98,0.2173790614349398
191,120.0,57.58,0.21564002894346027,129.0,112.66,0.21564002894346027
192,17.0,57.66,0.21391490871191257,126.0,113.06,0.21391490871191257
193,18.0,56.22,0.2122035894422173,154.0,114.02,0.2122035894422173
194,11.0,56.24,0.21050596072667954,148.0,114.84,0.21050596072667954
195,79.0,57.44,0.20882191304086611,143.0,115.24,0.20882191304086611
196,108.0,58.04,0.20715133773653918,143.0,115.72,0.20715133773653918
197,11.0,56.54,0.20549412703464687,117.0,116.56,0.20549412703464687
198,117.0,57.98,0.2038501740183697,156.0,117.14,0.2038501740183697
199,95.0,58.8,0.20221937262622272,122.0,116.62,0.20221937262622272
200,115.0,60.74,0.20060161764521295,48.0,115.38,0.20060161764521295
201,66.0,60.2,0.19899680470405123,131.0,114.68,0.19899680470405123
202,11.0,58.6,0.19740483026641883,165.0,115.36,0.19740483026641883
203,82.0,59.8,0.19582559162428748,109.0,113.84,0.19582559162428748
204,13.0,59.84,0.19425898689129317,182.0,113.84,0.19425898689129317
205,110.0,61.8,0.19270491499616282,150.0,114.6,0.19270491499616282
206,117.0,62.52,0.1911632756761935,135.0,114.74,0.1911632756761935
207,100.0,64.2,0.18963396947078398,110.0,116.46,0.18963396947078398
208,118.0,66.28,0.1881168977150177,109.0,116.22,0.1881168977150177
209,16.0,66.26,0.18661196253329757,99.0,115.96,0.18661196253329757
210,102.0,68.08,0.18511906683303117,118.0,115.92,0.18511906683303117
211,26.0,68.16,0.18363811429836693,155.0,118.8,0.18363811429836693
212,105.0,69.92,0.18216900938397998,33.0,116.18,0.18216900938397998
213,19.0,68.52,0.18071165730890815,120.0,117.44,0.18071165730890815
214,17.0,67.2,0.17926596405043688,163.0,119.4,0.17926596405043688
215,17.0,67.14,0.17783183633803337,139.0,120.86,0.17783183633803337
216,101.0,67.2,0.1764091816473291,143.0,121.56,0.1764091816473291
217,14.0,65.64,0.17499790819415048,115.0,120.26,0.17499790819415048
218,12.0,63.94,0.17359792492859727,110.0,119.74,0.17359792492859727
219,101.0,65.56,0.1722091415291685,55.0,118.4,0.1722091415291685
220,96.0,66.06,0.17083146839693514,120.0,117.52,0.17083146839693514
221,116.0,66.24,0.16946481664975965,105.0,119.26,0.16946481664975965
222,115.0,67.44,0.16810909811656158,86.0,118.84,0.16810909811656158
223,18.0,66.14,0.1667642253316291,110.0,119.88,0.1667642253316291
224,15.0,66.06,0.16543011152897605,152.0,120.1,0.16543011152897605
225,108.0,66.62,0.16410667063674425,134.0,119.46,0.16410667063674425
226,58.0,65.78,0.1627938172716503,148.0,119.66,0.1627938172716503
227,121.0,66.02,0.16149146673347708,177.0,120.7,0.16149146673347708
228,120.0,68.22,0.16019953499960926,116.0,122.14,0.16019953499960926
229,109.0,68.52,0.1589179387196124,137.0,121.84,0.1589179387196124
230,16.0,66.66,0.1576465952098555,149.0,121.48,0.1576465952098555
231,110.0,68.52,0.15638542244817666,130.0,121.52,0.15638542244817666
232,12.0,66.36,0.15513433906859123,173.0,124.74,0.15513433906859123
233,106.0,66.36,0.1538932643560425,140.0,126.88,0.1538932643560425
234,105.0,66.28,0.15266211824119416,144.0,127.66,0.15266211824119416
235,107.0,67.94,0.1514408212952646,165.0,128.02,0.1514408212952646
236,112.0,69.86,0.15022929472490248,178.0,128.92,0.15022929472490248
237,124.0,72.04,0.14902746036710326,135.0,129.48,0.14902746036710326
238,100.0,71.8,0.14783524068416645,227.0,131.32,0.14783524068416645
239,16.0,70.78,0.1466525587586931,268.0,133.82,0.1466525587586931
240,100.0,72.44,0.14547933828862356,209.0,136.6,0.14547933828862356
241,25.0,70.54,0.14431550358231457,328.0,140.58,0.14431550358231457
242,16.0,70.52,0.14316097955365606,173.0,141.52,0.14316097955365606
243,104.0,72.24,0.1420156917172268,235.0,143.14,0.1420156917172268
244,105.0,74.12,0.14087956618348899,372.0,147.62,0.14087956618348899
245,106.0,74.66,0.13975252965402107,288.0,150.52,0.13975252965402107
246,99.0,74.48,0.1386345094167889,211.0,151.88,0.1386345094167889
247,105.0,76.36,0.1375254333414546,274.0,155.02,0.1375254333414546
248,105.0,76.12,0.13642522987472297,202.0,155.94,0.13642522987472297
249,39.0,75.0,0.13533382803572516,133.0,156.16,0.13533382803572516
250,95.0,74.6,0.13425115741143936,225.0,159.7,0.13425115741143936
251,21.0,73.7,0.13317714815214785,149.0,160.06,0.13317714815214785
252,99.0,75.46,0.13211173096693068,127.0,159.3,0.13211173096693068
253,12.0,74.06,0.13105483711919522,150.0,160.12,0.13105483711919522
254,105.0,75.9,0.13000639842224165,35.0,157.18,0.13000639842224165
255,107.0,75.84,0.12896634723486372,132.0,156.82,0.12896634723486372
256,101.0,75.52,0.1279346164569848,17.0,154.46,0.1279346164569848
257,16.0,73.84,0.12691113952532893,150.0,155.26,0.12691113952532893
258,101.0,73.5,0.1258958504091263,121.0,155.5,0.1258958504091263
259,105.0,75.28,0.1248886836058533,113.0,155.78,0.1248886836058533
260,96.0,75.16,0.12388957413700646,121.0,155.84,0.12388957413700646
261,15.0,74.94,0.12289845754391042,71.0,154.16,0.12289845754391042
262,97.0,74.78,0.12191526988355914,104.0,155.58,0.12191526988355914
263,17.0,74.74,0.12093994772449065,133.0,155.84,0.12093994772449065
264,110.0,76.6,0.11997242814269474,120.0,154.98,0.11997242814269474
265,99.0,78.24,0.11901264871755317,105.0,154.3,0.11901264871755317
266,97.0,78.16,0.11806054752781274,111.0,153.66,0.11806054752781274
267,99.0,79.86,0.11711606314759024,123.0,153.82,0.11711606314759024
268,98.0,81.58,0.11617913464240952,102.0,153.66,0.11617913464240952
269,101.0,81.58,0.11524970156527024,116.0,154.88,0.11524970156527024
270,18.0,80.02,0.11432770395274808,112.0,154.72,0.11432770395274808
271,99.0,79.68,0.1134130823211261,106.0,154.74,0.1134130823211261
272,10.0,77.58,0.11250577766255708,96.0,154.94,0.11250577766255708
273,14.0,77.5,0.11160573144125663,97.0,154.68,0.11160573144125663
274,14.0,77.48,0.11071288558972657,90.0,153.44,0.11071288558972657
275,96.0,77.24,0.10982718250500877,99.0,152.74,0.10982718250500877
276,96.0,78.0,0.10894856504496869,108.0,151.94,0.10894856504496869
277,106.0,77.7,0.10807697652460894,99.0,150.38,0.10807697652460894
278,104.0,77.38,0.10721236071241207,99.0,150.04,0.10721236071241207
279,100.0,77.2,0.10635466182671277,105.0,149.4,0.10635466182671277
280,107.0,79.02,0.10550382453209907,101.0,148.44,0.10550382453209907
281,97.0,78.76,0.10465979393584228,16.0,146.16,0.10465979393584228
282,13.0,78.78,0.10382251558435554,112.0,144.94,0.10382251558435554
283,101.0,78.68,0.10299193545968069,113.0,144.4,0.10299193545968069
284,92.0,78.42,0.10216799997600325,108.0,143.68,0.10216799997600325
285,16.0,76.6,0.10135065597619522,101.0,142.4,0.10135065597619522
286,14.0,74.64,0.10053985072838566,103.0,140.9,0.10053985072838566
287,106.0,74.28,0.09973553192255857,112.0,140.44,0.09973553192255857
288,12.0,72.52,0.0989376476671781,109.0,138.08,0.0989376476671781
289,106.0,74.32,0.09814614648584068,66.0,134.04,0.09814614648584068
290,104.0,74.4,0.09736097731395395,111.0,132.08,0.09736097731395395
291,17.0,74.24,0.09658208949544232,108.0,127.68,0.09658208949544232
292,105.0,76.02,0.09580943277947877,104.0,126.3,0.09580943277947877
293,106.0,76.06,0.09504295731724295,102.0,123.64,0.09504295731724295
294,99.0,75.94,0.094282613658705,14.0,116.48,0.094282613658705
295,17.0,74.16,0.09352835274943536,13.0,110.98,0.09352835274943536
296,101.0,74.2,0.09278012592743988,10.0,106.96,0.09278012592743988
297,99.0,74.08,0.09203788492002035,106.0,103.6,0.09203788492002035
298,14.0,72.26,0.09130158184066019,113.0,101.82,0.09130158184066019
299,102.0,73.52,0.09057116918593491,112.0,101.4,0.09057116918593491
300,110.0,73.82,0.08984659983244743,11.0,97.12,0.08984659983244743
301,104.0,75.48,0.08912782703378785,110.0,96.34,0.08912782703378785
302,98.0,75.46,0.08841480441751755,109.0,95.98,0.08841480441751755
303,102.0,77.26,0.08770748598217741,112.0,95.22,0.08770748598217741
304,109.0,77.34,0.08700582609431999,113.0,96.78,0.08700582609431999
305,100.0,77.2,0.08630977948556542,114.0,96.42,0.08630977948556542
306,105.0,77.28,0.0856193012496809,113.0,98.34,0.0856193012496809
307,102.0,79.0,0.08493434683968346,128.0,97.9,0.08493434683968346
308,14.0,77.26,0.08425487206496599,127.0,98.02,0.08425487206496599
309,108.0,77.32,0.08358083308844626,129.0,98.34,0.08358083308844626
310,11.0,75.62,0.08291218642373868,116.0,98.24,0.08291218642373868
311,100.0,77.32,0.08224888893234877,112.0,99.06,0.08224888893234877
312,104.0,77.46,0.08159089782088999,120.0,99.38,0.08159089782088999
313,102.0,79.16,0.08093817063832287,109.0,98.9,0.08093817063832287
314,102.0,79.0,0.08029066527321628,119.0,98.88,0.08029066527321628
315,108.0,79.18,0.07964833995103054,113.0,99.04,0.07964833995103054
316,101.0,79.26,0.07901115323142231,112.0,99.06,0.07901115323142231
317,103.0,79.34,0.07837906400557093,117.0,98.94,0.07837906400557093
318,97.0,79.32,0.07775203149352636,111.0,99.12,0.07775203149352636
319,109.0,79.48,0.07713001524157814,110.0,99.0,0.07713001524157814
320,109.0,81.3,0.07651297511964553,126.0,99.28,0.07651297511964553
321,99.0,81.3,0.07590087131868836,122.0,99.6,0.07590087131868836
322,109.0,83.28,0.07529366434813885,115.0,99.98,0.07529366434813885
323,99.0,84.98,0.07469131503335374,110.0,100.24,0.07469131503335374
324,14.0,84.98,0.0740937845130869,118.0,100.8,0.0740937845130869
325,99.0,85.04,0.07350103423698222,116.0,101.14,0.07350103423698222
326,100.0,85.12,0.07291302596308635,115.0,101.28,0.07291302596308635
327,15.0,83.3,0.07232972175538166,107.0,101.44,0.07232972175538166
328,104.0,83.3,0.07175108398133861,109.0,101.64,0.07175108398133861
329,15.0,81.6,0.0711770753094879,107.0,101.68,0.0711770753094879
330,106.0,81.58,0.070607658707012,117.0,102.0,0.070607658707012
331,98.0,81.6,0.0700427974373559,112.0,103.92,0.0700427974373559
332,107.0,83.48,0.06948245505785705,84.0,103.36,0.06948245505785705
333,100.0,83.46,0.0689265954173942,106.0,103.22,0.0689265954173942
334,112.0,83.86,0.06837518265405504,121.0,103.48,0.06837518265405504
335,16.0,83.86,0.0678281811928226,110.0,103.66,0.0678281811928226
336,112.0,85.82,0.06728555574328002,101.0,103.62,0.06728555574328002
337,106.0,85.82,0.06674727129733378,116.0,103.7,0.06674727129733378
338,15.0,85.88,0.0662132931269551,91.0,103.34,0.0662132931269551
339,96.0,85.68,0.06568358678193946,88.0,103.78,0.06568358678193946
340,103.0,85.66,0.06515811808768394,102.0,103.6,0.06515811808768394
341,12.0,85.56,0.06463685314298248,102.0,103.48,0.06463685314298248
342,11.0,83.68,0.06411975831783862,86.0,103.12,0.06411975831783862
343,108.0,83.72,0.0636068002512959,110.0,103.28,0.0636068002512959
344,106.0,83.86,0.06309794584928555,120.0,105.4,0.06309794584928555
345,110.0,85.72,0.06259316228249126,111.0,107.36,0.06259316228249126
346,107.0,85.84,0.062092416984231326,123.0,109.62,0.062092416984231326
347,112.0,86.1,0.06159567764835747,105.0,109.6,0.06159567764835747
348,82.0,87.46,0.06110291222717061,109.0,109.52,0.06110291222717061
349,111.0,87.64,0.06061408892935325,107.0,109.42,0.06061408892935325
350,109.0,87.62,0.06012917621791842,109.0,111.38,0.06012917621791842
351,103.0,87.6,0.05964814280817508,112.0,111.42,0.05964814280817508
352,90.0,87.44,0.05917095766570967,102.0,111.28,0.05917095766570967
353,107.0,87.54,0.058697590004383994,108.0,111.2,0.058697590004383994
354,111.0,87.58,0.058228009284348924,116.0,111.26,0.058228009284348924
355,103.0,87.64,0.05776218521007413,102.0,111.02,0.05776218521007413
356,107.0,87.68,0.05730008772839354,105.0,110.86,0.05730008772839354
357,110.0,87.84,0.05684168702656639,111.0,110.52,0.05684168702656639
358,110.0,89.76,0.056386953530353855,103.0,110.04,0.056386953530353855
359,120.0,90.0,0.05593585790211102,102.0,109.5,0.05593585790211102
360,122.0,92.22,0.05548837103889414,109.0,109.36,0.05548837103889414
361,119.0,92.6,0.055044464070582985,13.0,107.38,0.055044464070582985
362,122.0,92.96,0.05460410835801832,102.0,107.02,0.05460410835801832
363,114.0,93.2,0.054167275491154174,95.0,106.74,0.054167275491154174
364,116.0,93.48,0.05373393728722494,79.0,105.94,0.05373393728722494
365,116.0,93.64,0.05330406578892714,81.0,105.3,0.05330406578892714
366,122.0,94.06,0.05287763326261572,104.0,105.14,0.05287763326261572
367,122.0,94.44,0.052454612196514795,92.0,104.64,0.052454612196514795
368,114.0,94.78,0.05203497529894268,85.0,104.12,0.05203497529894268
369,114.0,94.88,0.05161869549655113,77.0,103.46,0.05161869549655113
370,123.0,95.16,0.051205745932578726,77.0,102.48,0.051205745932578726
371,129.0,95.76,0.050796099965118094,80.0,101.64,0.050796099965118094
372,119.0,95.96,0.05038973116539715,98.0,101.3,0.05038973116539715
373,114.0,96.26,0.05,91.0,100.92,0.05
374,122.0,98.42,0.05,77.0,100.1,0.05
375,116.0,98.76,0.05,80.0,99.38,0.05
376,124.0,99.24,0.05,83.0,98.74,0.05
377,12.0,99.18,0.05,14.0,96.88,0.05
378,114.0,99.38,0.05,87.0,96.44,0.05
379,13.0,99.34,0.05,94.0,96.18,0.05
