level,method,dataset,model,best_score_roc_auc,validation_roc_auc,runtime_seconds,best_params
advanced,RandomizedSearchCV,Santander Customer Transaction,HistGradientBoostingClassifier,0.8520315868036045,0.8672336332916804,55.786492586135864,"{'l2_regularization': 0.004714358681860228, 'learning_rate': 0.03896217029789141, 'max_iter': 299, 'max_leaf_nodes': 30}"
advanced,BayesSearchCV,Santander Customer Transaction,HistGradientBoostingClassifier,0.8565011212811933,0.8788151107916587,142.78480339050293,"OrderedDict([('l2_regularization', 10.0), ('learning_rate', 0.07536593442374637), ('max_iter', 262), ('max_leaf_nodes', 15)])"
