level,method,dataset,target,best_score,runtime_seconds,best_params
beginner,GridSearchCV,bank.csv,y,0.8951559389515594,8.739833116531372,"{'clf__max_depth': None, 'clf__n_estimators': 200}"
beginner,RandomizedSearchCV,bank.csv,y,0.8951559389515594,1.988534927368164,"{'clf__n_estimators': 200, 'clf__max_depth': None}"
