component,explained_variance_ratio,explained_variance_percent,cumulative_variance_ratio,cumulative_variance_percent
PC1,0.28173931278817294,28.173931278817292,0.28173931278817294,28.173931278817292
PC2,0.17508269905476775,17.508269905476777,0.4568220118429407,45.68220118429407
PC3,0.14095849897952165,14.095849897952165,0.5977805108224623,59.77805108224623
