model,number_of_features_used,accuracy,training_time_seconds,pca_transform_time_seconds
Logistic Regression - Original Features,20531,0.9813664596273292,0.4359750747680664,0.0
Logistic Regression - PCA 95% Variance,434,1.0,0.032616615295410156,2.487525224685669
