,PC1_loading,PC2_loading,abs_PC1_loading,abs_PC2_loading
gene_3612,0.004776695635369747,-0.020273157927467252,0.004776695635369747,0.020273157927467252
gene_1222,-0.00562764503282443,0.01986287433924341,0.00562764503282443,0.01986287433924341
gene_14699,0.00190878324868791,-0.01986209671746191,0.00190878324868791,0.01986209671746191
gene_1010,-0.003062526831913815,0.01982862299675022,0.003062526831913815,0.01982862299675022
gene_19498,0.0028974828041467785,0.01950547700345128,0.0028974828041467785,0.01950547700345128
gene_1113,0.0037454178482976535,-0.019409445906591764,0.0037454178482976535,0.019409445906591764
gene_3603,0.004091640764956187,-0.019346074530450216,0.004091640764956187,0.019346074530450216
gene_364,-0.002515374320468398,-0.019225087568655083,0.002515374320468398,0.019225087568655083
gene_11153,-0.006063591582259409,0.019221792455065438,0.006063591582259409,0.019221792455065438
gene_19866,-0.00011525175120762574,0.019133476370957653,0.00011525175120762574,0.019133476370957653
gene_9425,-0.004041287239790463,-0.0190896982635721,0.004041287239790463,0.0190896982635721
gene_15282,-0.005175902987717639,0.019080063451011906,0.005175902987717639,0.019080063451011906
gene_16493,0.0010623449539696698,-0.019059019851937354,0.0010623449539696698,0.019059019851937354
gene_13958,0.00021701837158940627,-0.019058371391427537,0.00021701837158940627,0.019058371391427537
gene_1532,-0.0032277102537135475,0.018999987334400188,0.0032277102537135475,0.018999987334400188
gene_6186,-0.0031087396314458675,0.018991432506104692,0.0031087396314458675,0.018991432506104692
gene_2244,0.004338262722215872,-0.018987014062673436,0.004338262722215872,0.018987014062673436
gene_7538,0.00010557361489687056,-0.01896163055578779,0.00010557361489687056,0.01896163055578779
gene_20340,0.0004549071066898748,-0.018951538990513158,0.0004549071066898748,0.018951538990513158
gene_6455,-0.002650964757038526,0.018938158902345764,0.002650964757038526,0.018938158902345764
gene_11734,-0.003993043443284732,0.018893896143679683,0.003993043443284732,0.018893896143679683
gene_12908,-0.0016732905708769302,-0.018882138446223027,0.0016732905708769302,0.018882138446223027
gene_11744,-0.005986521965344849,0.018873784286063316,0.005986521965344849,0.018873784286063316
gene_2124,-0.005053811569793162,0.018832375788801307,0.005053811569793162,0.018832375788801307
gene_19132,0.0034234874527633618,-0.018782531506990024,0.0034234874527633618,0.018782531506990024
gene_6799,-0.007336190815641937,0.01874377992472733,0.007336190815641937,0.01874377992472733
gene_14974,0.005990778569564754,-0.018711876271962552,0.005990778569564754,0.018711876271962552
gene_6227,-0.005016572118767682,0.018699861041736078,0.005016572118767682,0.018699861041736078
gene_15640,-0.0015425374660472597,-0.01867768644494517,0.0015425374660472597,0.01867768644494517
gene_4134,-0.0057685543631294375,0.01865960081518403,0.0057685543631294375,0.01865960081518403
