product_id,brand_name,manufacturer,price_inr,is_discontinued,dosage_form,pack_size,pack_unit,num_active_ingredients,primary_ingredient,primary_strength,active_ingredients,therapeutic_class,packaging_raw,manufacturer_raw,primary_strength_numeric,IQR_outlier,Isolation_Forest_outlier,LOF_outlier,ABOD_outlier,CBLOF_outlier,PyOD_IForest_outlier,number_of_methods_flagging_outlier
214998,Tears Naturale Forte Ophthalmic Solution,Alcon Laboratories,257.0,False,solution,10.0,ml,2,Hydroxypropylmethylcellulose,,"[{'name': 'Hydroxypropylmethylcellulose', 'strength': None, 'full_description': 'Hydroxypropylmethylcellulose (0.3% w/v)'}, {'name': 'Glycerin', 'strength': None, 'full_description': 'Glycerin (0.2% w/v)'}]",other,packet of 10 ml Ophthalmic Solution,Alcon Laboratories,,1,1,1,1,1,1,6
114951,Jevatax 60mg Injection,Cipla Ltd,36000.0,True,injection,,,1,Cabazitaxel,60mg,"[{'name': 'Cabazitaxel', 'strength': '60mg', 'full_description': 'Cabazitaxel (60mg)'}]",other,vial of 1 Injection,Cipla Ltd,60.0,1,1,1,1,1,1,6
28582,Byetta 10mcg Pen,Eli Lilly and Company India Pvt Ltd,6957.0,False,other,,,1,Exenatide,,"[{'name': 'Exenatide', 'strength': None, 'full_description': 'Exenatide (10mcg)'}]",other,packet of 1 Pen,Eli Lilly and Company India Pvt Ltd,,1,1,1,1,1,1,6
166492,Om Biotec Omiderm Antifungal Dusting Powder,Om Biotec,128.0,False,powder,100.0,gm,1,Clotrimazole,,"[{'name': 'Clotrimazole', 'strength': None, 'full_description': 'Clotrimazole (1% w/w)'}]",other,bottle of 100 gm Dusting Powder,Om Biotec,,1,1,1,1,1,1,6
2539,Aculife Sterile Water for injection,Aculife Healthcare Private Limited,2.91,False,injection,10.0,ml,1,Sterile Water,,"[{'name': 'Sterile Water', 'strength': None, 'full_description': 'Sterile Water (NA)'}]",other,vial of 10 ml Water for injection,Aculife Healthcare Private Limited,,1,1,1,1,1,1,6
52973,Clivarine MDV 1432IU Injection,Abbott,3230.0,True,injection,6.0,ml,1,Reviparin,,"[{'name': 'Reviparin', 'strength': None, 'full_description': 'Reviparin (1432IU)'}]",other,vial of 6 ml Injection,Abbott,,1,1,1,1,1,1,6
115823,K Mac B6  Oral Solution,Fourrts India Laboratories Pvt Ltd,175.0,False,solution,200.0,bottle,2,Potassium Citrate,1100mg/5ml,"[{'name': 'Potassium Citrate', 'strength': '1100mg/5ml', 'full_description': 'Potassium Citrate (1100mg/5ml)'}, {'name': 'Magnesium Citrate', 'strength': '375mg/5ml', 'full_description': 'Magnesium Citrate (375mg/5ml)'}]",other,bottle of 200 ml Oral Solution,Fourrts India Laboratories Pvt Ltd,11005.0,1,1,1,1,1,1,6
155321,NS 0.9% Infusion,Nirlife Healthcare,30.7,False,other,500.0,bottle,1,Sodium Chloride,,"[{'name': 'Sodium Chloride', 'strength': None, 'full_description': 'Sodium Chloride (0.9% w/v)'}]",other,bottle of 500 ml Infusion,Nirlife Healthcare,,1,1,1,1,1,1,6
184361,Restasis Ophthalmic Emulsion (0.4ml each),Allergan India Pvt Ltd,2555.22,False,other,,,1,Ciclosporin,,"[{'name': 'Ciclosporin', 'strength': None, 'full_description': 'Ciclosporin (0.05% w/v)'}]",other,packet of 30 ophthalmic emulsions,Allergan India Pvt Ltd,,1,1,0,1,1,1,5
193312,Rinolife Oral Drops,Best Biotech,59.0,False,drops,15.0,bottle,2,Chlorpheniramine Maleate,2mg/ml,"[{'name': 'Chlorpheniramine Maleate', 'strength': '2mg/ml', 'full_description': 'Chlorpheniramine Maleate (2mg/ml)'}, {'name': 'Phenylephrine', 'strength': '5mg/ml', 'full_description': 'Phenylephrine (5mg/ml)'}]",antihistamine,bottle of 15 ml Oral Drops,Best Biotech,2.0,1,1,1,1,0,1,5
154160,Norglobin 5gm Infusion,Claris Lifesciences Ltd,11825.0,False,solution,100.0,bottle,1,Human Normal Immunoglobulin,5gm,"[{'name': 'Human Normal Immunoglobulin', 'strength': '5gm', 'full_description': 'Human Normal Immunoglobulin (5gm)'}]",other,bottle of 100 ml Solution for Infusion,Claris Lifesciences Ltd,5.0,1,1,0,1,1,1,5
