min_samples_leaf,train_accuracy,test_accuracy,tree_depth,node_count
1,1.0,0.7272727272727273,16,229
5,0.8925081433224755,0.7467532467532467,12,127
10,0.8338762214983714,0.7532467532467533,9,77
20,0.8127035830618893,0.7727272727272727,7,43
