k,gap,sk,log_wk
1,3.5949527209226417,0.012950889490099631,8.849932763621359
2,3.5454663393800274,0.014053179969621143,8.374753481068668
3,3.6269586658319684,0.015714002848822826,7.8792556430505405
4,3.469504215471744,0.019185898597232586,7.609292895348668
5,3.5587215566682335,0.009975751266073942,7.339808278238593
6,3.5894653613217145,0.01409130212238967,7.141366019457699
7,3.6256135177915603,0.012116714137604602,6.954394743731269
8,3.6549679396665207,0.0116090632467267,6.779203924286963
